Evaluation,Best Losses,Total Time,Times_per_stock
10036.639961242676,1.3949687480926514,720.9933748245239,60.3361279964447
9961.28987121582,1.8554445505142212,,73.832040309906
10095.239944458008,1.4380930662155151,,70.12211394309998
10096.120025634766,1.6757452487945557,,83.10674595832825
10027.79010772705,1.2383161783218384,,63.32350397109985
10050.300018310547,1.181251883506775,,75.17436504364014
10074.380073547363,1.645353078842163,,81.35038995742798
10125.899993896484,1.9930051565170288,,72.58613991737366
10174.080207824707,2.044480085372925,,56.32304000854492
10157.120124816895,1.418662428855896,,84.83890771865845
10082.709968566895,,,
10094.459838867188,,,
10090.53018951416,,,
10036.7299118042,,,
10180.709884643555,,,
10357.809761047363,,,
10463.389892578125,,,
10457.859909057617,,,
10405.25016784668,,,
10443.919906616211,,,
10423.700096130371,,,
10307.949928283691,,,
10270.189910888672,,,
10148.319946289062,,,
10105.000053405762,,,
10337.049934387207,,,
10247.140022277832,,,
10401.679801940918,,,
10408.89005279541,,,
10291.479804992676,,,
10124.910110473633,,,
10539.009925842285,,,
10539.480186462402,,,
10506.939781188965,,,
10495.019981384277,,,
10465.84017944336,,,
10376.509819030762,,,
10382.680015563965,,,
10485.170112609863,,,
10342.950065612793,,,
10320.300193786621,,,
10144.509757995605,,,
10224.57006072998,,,
10317.09994506836,,,
10300.749885559082,,,
10465.789749145508,,,
10260.689903259277,,,
10313.149932861328,,,
10316.270126342773,,,
10430.019760131836,,,
10473.19979095459,,,
10587.350173950195,,,
10500.25984954834,,,
10484.80014038086,,,
10348.899765014648,,,
10444.790031433105,,,
10516.259979248047,,,
10607.650062561035,,,
10548.319801330566,,,
10690.589988708496,,,
10662.429946899414,,,
10580.109840393066,,,
10544.379829406738,,,
10552.909996032715,,,
10292.209999084473,,,
10269.849983215332,,,
10199.009948730469,,,
10199.979904174805,,,
10066.500076293945,,,
10009.819923400879,,,
10204.119941711426,,,
10162.749877929688,,,
10229.60986328125,,,
10123.179870605469,,,
10186.969886779785,,,
10145.740043640137,,,
10270.390014648438,,,
10365.610221862793,,,
10424.600105285645,,,
10516.119987487793,,,
10517.769889831543,,,
10392.439994812012,,,
10405.20989227295,,,
10367.709770202637,,,
10364.950103759766,,,
10240.820053100586,,,
10088.76985168457,,,
10322.239906311035,,,
10229.110000610352,,,
9977.889831542969,,,
10093.679801940918,,,
10216.029968261719,,,
10325.359954833984,,,
10377.950065612793,,,
10598.789794921875,,,
10621.370079040527,,,
10666.769859313965,,,
10728.150032043457,,,
10799.969955444336,,,
10869.00006866455,,,
10838.820114135742,,,
10898.589950561523,,,
11048.08984375,,,
11130.579795837402,,,
10978.060066223145,,,
11072.759986877441,,,
11105.740020751953,,,
11138.609909057617,,,
11174.780151367188,,,
11219.259811401367,,,
11231.039825439453,,,
11224.53978729248,,,
11259.53010559082,,,
11158.059776306152,,,
11122.4398727417,,,
11159.569938659668,,,
11102.099891662598,,,
11289.849937438965,,,
11255.749671936035,,,
11242.649696350098,,,
11287.390060424805,,,
11239.759994506836,,,
11337.829849243164,,,
11410.159805297852,,,
11338.739974975586,,,
11385.19987487793,,,
11524.549713134766,,,
11517.579765319824,,,
11542.859962463379,,,
11551.550010681152,,,
11523.849792480469,,,
11528.13981628418,,,
11530.529830932617,,,
11487.05004119873,,,
11420.559768676758,,,
11347.12981414795,,,
11336.929817199707,,,
11312.609916687012,,,
11380.349914550781,,,
11476.159912109375,,,
11543.039817810059,,,
11673.699813842773,,,
11696.539848327637,,,
11650.839881896973,,,
11602.27001953125,,,
11663.249969482422,,,
11773.909942626953,,,
11887.84992980957,,,
11860.420028686523,,,
12008.699829101562,,,
12045.969802856445,,,
12106.939895629883,,,
12167.299842834473,,,
12253.259925842285,,,
12064.239768981934,,,
12033.739768981934,,,
12265.159828186035,,,
12359.769905090332,,,
12536.149772644043,,,
12476.789810180664,,,
12601.989791870117,,,
12672.189727783203,,,
12741.950004577637,,,
12514.759857177734,,,
12638.390121459961,,,
12621.139938354492,,,
12621.180191040039,,,
12543.83000946045,,,
12601.249839782715,,,
12766.3999710083,,,
12780.459884643555,,,
12809.330039978027,,,
12700.840187072754,,,
12641.16985321045,,,
12638.529930114746,,,
12701.99974822998,,,
12678.360008239746,,,
12586.999870300293,,,
12625.729736328125,,,
12611.169799804688,,,
12668.070114135742,,,
12655.370094299316,,,
12627.189918518066,,,
12705.269874572754,,,
12767.669960021973,,,
12761.70987701416,,,
12904.900016784668,,,
12842.419921875,,,
12866.580032348633,,,
12953.140029907227,,,
12845.639831542969,,,
12861.110107421875,,,
12886.879997253418,,,
12873.3599319458,,,
12832.95004272461,,,
12831.140014648438,,,
12819.640045166016,,,
12903.669937133789,,,
13013.0498046875,,,
12985.649871826172,,,
13037.069969177246,,,
13084.399940490723,,,
13055.160179138184,,,
13051.900009155273,,,
13210.779998779297,,,
13282.100051879883,,,
13153.760070800781,,,
13133.98989868164,,,
13083.349906921387,,,
13047.090057373047,,,
12978.750053405762,,,
13029.88020324707,,,
13068.379867553711,,,
13008.229949951172,,,
13408.390045166016,,,
13458.839782714844,,,
13406.829978942871,,,
13312.37003326416,,,
13411.064750671387,,,
13797.27978515625,,,
13685.220123291016,,,
13798.659881591797,,,
13831.64005279541,,,
13839.649909973145,,,
13821.239799499512,,,
13787.009948730469,,,
13902.459884643555,,,
13936.950012207031,,,
14029.15982055664,,,
