Evaluation,Best Losses,Total Time,Times_per_stock
9985.780097961426,0.0023657744750380516,774.1859354972839,70.17412304878235
9937.919914245605,0.005783285014331341,,79.54574704170227
10001.559944152832,0.0017386316321790218,,94.41509103775024
9986.460014343262,0.0030568840447813272,,86.07603597640991
10018.570053100586,0.003945366013795137,,72.71331596374512
10059.420227050781,0.0011187446070834994,,67.17539811134338
10141.839965820312,0.0026462108362466097,,63.04454278945923
10109.320045471191,0.0029449425637722015,,90.23034119606018
10109.300148010254,0.0031960855703800917,,75.23771333694458
10125.800071716309,0.0019910959526896477,,75.57362699508667
10122.96996307373,,,
10047.170066833496,,,
10076.15015411377,,,
10125.99006652832,,,
10265.870109558105,,,
10307.100059509277,,,
10225.099914550781,,,
10200.439849853516,,,
10217.499839782715,,,
10251.319763183594,,,
10281.42977142334,,,
10208.21981048584,,,
10145.069854736328,,,
9794.509841918945,,,
9500.999732971191,,,
9797.33977508545,,,
9744.599800109863,,,
9825.819679260254,,,
9813.259498596191,,,
9861.21957397461,,,
9768.769821166992,,,
9997.399719238281,,,
9979.22966003418,,,
9871.169570922852,,,
9812.969543457031,,,
9833.509384155273,,,
9720.679374694824,,,
9772.489555358887,,,
9851.419616699219,,,
9692.779724121094,,,
9722.949714660645,,,
9571.069328308105,,,
9677.469520568848,,,
9729.909523010254,,,
9754.899597167969,,,
9867.659278869629,,,
9984.22940826416,,,
10025.57943725586,,,
10072.599510192871,,,
10186.20938873291,,,
10254.649459838867,,,
10350.589385986328,,,
10356.579475402832,,,
10452.169418334961,,,
10371.009460449219,,,
10457.08960723877,,,
10399.06967163086,,,
10402.209526062012,,,
10311.89966583252,,,
10353.389526367188,,,
10362.969528198242,,,
10371.279624938965,,,
10388.879615783691,,,
10430.969749450684,,,
10346.309700012207,,,
10305.119606018066,,,
10259.659606933594,,,
10246.799667358398,,,
10193.799644470215,,,
10105.409606933594,,,
10287.039642333984,,,
10322.159538269043,,,
10317.55965423584,,,
10327.409797668457,,,
10342.599502563477,,,
10182.95970916748,,,
10298.579620361328,,,
10291.599784851074,,,
10270.859642028809,,,
10304.509620666504,,,
10279.929634094238,,,
10239.039695739746,,,
10329.729415893555,,,
10258.319389343262,,,
10219.29948425293,,,
10124.039581298828,,,
10008.279411315918,,,
10377.149436950684,,,
10333.629531860352,,,
10209.589263916016,,,
10262.479278564453,,,
10288.699340820312,,,
10298.249473571777,,,
10317.289421081543,,,
10293.359497070312,,,
10253.249320983887,,,
10213.409294128418,,,
10206.1792678833,,,
10160.649276733398,,,
10215.919174194336,,,
10155.609252929688,,,
10219.2191696167,,,
10282.689155578613,,,
10221.94905090332,,,
10158.39916229248,,,
10189.579086303711,,,
10247.58895111084,,,
10305.468925476074,,,
10309.638984680176,,,
10345.25887298584,,,
10403.728858947754,,,
10438.948760986328,,,
10440.838912963867,,,
10462.369003295898,,,
10425.738998413086,,,
10517.359077453613,,,
10474.609016418457,,,
10558.359100341797,,,
10563.669082641602,,,
10538.418952941895,,,
10653.67911529541,,,
10639.929161071777,,,
10668.569030761719,,,
10723.418975830078,,,
10696.149017333984,,,
10634.379020690918,,,
10661.21890258789,,,
10577.44881439209,,,
10659.018730163574,,,
10630.348808288574,,,
10580.498802185059,,,
10583.388893127441,,,
10592.968765258789,,,
10542.249015808105,,,
10532.288841247559,,,
10486.728820800781,,,
10462.308784484863,,,
10483.7689743042,,,
10552.688911437988,,,
10609.628868103027,,,
10505.978981018066,,,
10464.288940429688,,,
10506.908935546875,,,
10573.618934631348,,,
10537.28890991211,,,
10627.458877563477,,,
10644.828857421875,,,
10610.708740234375,,,
10593.888854980469,,,
10664.878959655762,,,
10606.438774108887,,,
10566.568702697754,,,
10527.978698730469,,,
10540.898658752441,,,
10570.408851623535,,,
10580.16886138916,,,
10607.798843383789,,,
10749.09912109375,,,
10810.179084777832,,,
10934.519012451172,,,
10908.168884277344,,,
10803.699111938477,,,
10852.759063720703,,,
10977.869079589844,,,
11073.58920288086,,,
11020.679092407227,,,
11102.269256591797,,,
11107.469261169434,,,
11158.099174499512,,,
11319.589027404785,,,
11290.41919708252,,,
11306.569190979004,,,
11344.329116821289,,,
11359.648918151855,,,
11288.818939208984,,,
11267.128814697266,,,
11225.608795166016,,,
11136.998886108398,,,
11172.258781433105,,,
11179.658729553223,,,
11129.548843383789,,,
11246.448997497559,,,
11196.439163208008,,,
11165.479034423828,,,
11124.50894165039,,,
11137.039031982422,,,
11043.078979492188,,,
11040.678916931152,,,
10998.819068908691,,,
10873.799102783203,,,
10897.769172668457,,,
10911.869140625,,,
10850.459205627441,,,
10843.849128723145,,,
10829.009056091309,,,
10815.219139099121,,,
10869.369026184082,,,
10834.859062194824,,,
10827.809020996094,,,
10851.968978881836,,,
10720.069068908691,,,
10717.678932189941,,,
10809.07886505127,,,
10743.968887329102,,,
10774.87890625,,,
10777.789009094238,,,
10890.358757019043,,,
10877.768859863281,,,
10904.878875732422,,,
10928.748840332031,,,
10925.788871765137,,,
10978.238899230957,,,
10966.368919372559,,,
11222.619010925293,,,
11568.458808898926,,,
11645.89884185791,,,
11736.128807067871,,,
11759.958679199219,,,
11798.88860321045,,,
11694.208625793457,,,
11733.508476257324,,,
11830.708595275879,,,
11795.778564453125,,,
11761.618545532227,,,
11784.148559570312,,,
11830.148559570312,,,
11934.448486328125,,,
11902.488578796387,,,
11872.448570251465,,,
