Evaluation,Best Losses,Total Time,Times_per_stock
10022.830062866211,0.0006410468486137688,6379.954755306244,663.3211188316345
9962.139923095703,0.0017021670937538147,,744.4994790554047
10081.700004577637,0.0013466982636600733,,521.2263057231903
10068.510093688965,0.0007459212793037295,,536.1575839519501
10042.400100708008,0.0008227337384596467,,495.880245923996
10080.09016418457,0.0007798699662089348,,819.377592086792
10141.990013122559,0.0005358020425774157,,660.2198688983917
10123.320091247559,0.0002563348098192364,,600.5265288352966
10142.250228881836,0.0007718052947893739,,645.8635859489441
10136.530136108398,0.0006562729831784964,,692.8824460506439
10095.380020141602,,,
10045.140045166016,,,
10063.81021118164,,,
10071.840019226074,,,
10232.190048217773,,,
10367.249923706055,,,
10421.34992980957,,,
10408.799911499023,,,
10432.049980163574,,,
10462.659805297852,,,
10480.299919128418,,,
10378.849868774414,,,
10309.309928894043,,,
9995.789894104004,,,
9744.54987335205,,,
10061.299858093262,,,
9981.849906921387,,,
10097.70970916748,,,
10071.359756469727,,,
10050.129707336426,,,
9946.669960021973,,,
10255.919784545898,,,
10241.76986694336,,,
10114.729568481445,,,
10019.179656982422,,,
10052.369483947754,,,
9913.889465332031,,,
9954.179626464844,,,
10051.109718322754,,,
9822.879783630371,,,
9860.549812316895,,,
9667.049293518066,,,
9766.04955291748,,,
9826.439529418945,,,
9851.509552001953,,,
10047.749168395996,,,
10084.269386291504,,,
10119.589416503906,,,
10165.889549255371,,,
10299.55931854248,,,
10402.19938659668,,,
10570.059455871582,,,
10578.959419250488,,,
10689.3394241333,,,
10591.509437561035,,,
10682.729553222656,,,
10618.509574890137,,,
10646.44947052002,,,
10537.329528808594,,,
10609.149444580078,,,
10610.079399108887,,,
10600.849555969238,,,
10611.09954071045,,,
10692.089668273926,,,
10491.41968536377,,,
10445.549583435059,,,
10398.539596557617,,,
10391.569610595703,,,
10283.289710998535,,,
10198.269645690918,,,
10405.989601135254,,,
10385.529579162598,,,
10431.979637145996,,,
10379.169731140137,,,
10450.87956237793,,,
10286.409744262695,,,
10367.429641723633,,,
10401.399925231934,,,
10419.569725036621,,,
10495.029670715332,,,
10468.089576721191,,,
10390.489738464355,,,
10483.899490356445,,,
10437.799369812012,,,
10392.91960144043,,,
10285.679641723633,,,
10150.059410095215,,,
10573.349418640137,,,
10524.169647216797,,,
10285.199325561523,,,
10386.749320983887,,,
10481.219421386719,,,
10551.369453430176,,,
10579.769607543945,,,
10714.979499816895,,,
10627.479515075684,,,
10618.699394226074,,,
10644.449394226074,,,
10608.069389343262,,,
10684.519355773926,,,
10602.499488830566,,,
10663.029312133789,,,
10744.489334106445,,,
10714.97917175293,,,
10636.889350891113,,,
10689.639305114746,,,
10741.769165039062,,,
10793.5390625,,,
10829.229301452637,,,
10887.909057617188,,,
10972.259017944336,,,
10983.838996887207,,,
10988.179206848145,,,
10978.789161682129,,,
10931.049133300781,,,
11033.309272766113,,,
10985.339126586914,,,
11118.099250793457,,,
11144.209037780762,,,
11106.109008789062,,,
11218.559226989746,,,
11213.099227905273,,,
11281.079139709473,,,
11307.229080200195,,,
11259.399139404297,,,
11221.489181518555,,,
11296.548988342285,,,
11208.119041442871,,,
11305.858909606934,,,
11283.929054260254,,,
11243.73900604248,,,
11249.449043273926,,,
11253.27897644043,,,
11207.49917602539,,,
11211.779022216797,,,
11173.398941040039,,,
11136.458908081055,,,
11157.099075317383,,,
11230.729026794434,,,
11279.828987121582,,,
11267.0791015625,,,
11253.729049682617,,,
11317.909004211426,,,
11359.41911315918,,,
11274.11920928955,,,
11362.929145812988,,,
11375.668998718262,,,
11301.578956604004,,,
11265.499015808105,,,
11330.889144897461,,,
11230.578979492188,,,
11244.538970947266,,,
11217.818908691406,,,
11191.32886505127,,,
11294.25894165039,,,
11286.40894317627,,,
11297.378982543945,,,
11339.229278564453,,,
11374.259155273438,,,
11534.839057922363,,,
11480.679100036621,,,
11364.299209594727,,,
11381.84920501709,,,
11545.759239196777,,,
11507.089225769043,,,
11428.269233703613,,,
11470.089378356934,,,
11510.219512939453,,,
11677.199310302734,,,
11562.299057006836,,,
11362.479179382324,,,
11374.769157409668,,,
11375.56916809082,,,
11443.148941040039,,,
11362.449172973633,,,
11322.909019470215,,,
11175.009147644043,,,
11059.299201965332,,,
11067.269058227539,,,
11028.668914794922,,,
10929.939140319824,,,
11174.039199829102,,,
11147.839218139648,,,
11040.04916381836,,,
11045.568969726562,,,
11095.849128723145,,,
10995.779075622559,,,
11090.079078674316,,,
10997.559196472168,,,
10853.68920135498,,,
10902.089256286621,,,
10831.139274597168,,,
10700.819190979004,,,
10752.429161071777,,,
10835.399192810059,,,
10798.179252624512,,,
10873.859153747559,,,
10799.919059753418,,,
10747.849067687988,,,
10785.409103393555,,,
10685.509048461914,,,
10700.908981323242,,,
10842.138916015625,,,
10709.138877868652,,,
10651.669059753418,,,
10649.289115905762,,,
10751.268928527832,,,
10722.548934936523,,,
10812.488967895508,,,
10867.569030761719,,,
10989.199012756348,,,
10917.669090270996,,,
10848.839042663574,,,
11228.259147644043,,,
11561.769020080566,,,
11610.438949584961,,,
11693.318923950195,,,
11768.878890991211,,,
11803.608825683594,,,
11596.773826599121,,,
11619.12370300293,,,
11627.463851928711,,,
11603.993843078613,,,
11566.673858642578,,,
11618.153785705566,,,
11636.173698425293,,,
11742.083801269531,,,
11642.513854980469,,,
11538.393821716309,,,
