Evaluation,Best Losses,Total Time,Times_per_stock
10017.800132751465,0.0019409552915021777,858.9112067222595,67.6376838684082
9937.71996307373,0.0065039973706007,,79.08003783226013
10017.660011291504,0.0020297158043831587,,76.35408210754395
9997.540061950684,0.003507025074213743,,79.63294172286987
10005.600006103516,0.002591411117464304,,87.43588519096375
10049.290138244629,0.0012315933126956224,,79.24877405166626
10121.719886779785,0.002276287879794836,,112.14975619316101
10068.150039672852,0.002740493742749095,,114.76520800590515
10077.28012084961,0.006131521891802549,,84.12408900260925
10081.80004119873,0.002263962058350444,,78.48274874687195
10049.099906921387,,,
9963.160018920898,,,
9978.800079345703,,,
10015.38998413086,,,
10167.960060119629,,,
10272.019996643066,,,
10317.689849853516,,,
10278.809829711914,,,
10313.559837341309,,,
10353.109718322754,,,
10377.889694213867,,,
10276.919815063477,,,
10213.159851074219,,,
9844.74984741211,,,
9528.859725952148,,,
9847.509765625,,,
9738.319808959961,,,
9856.11962890625,,,
9837.789642333984,,,
9871.339782714844,,,
9711.709968566895,,,
9897.639854431152,,,
9889.029823303223,,,
9748.08960723877,,,
9666.569618225098,,,
9702.35945892334,,,
9581.989479064941,,,
9634.64966583252,,,
9719.009750366211,,,
9520.94985961914,,,
9563.119834899902,,,
9390.929443359375,,,
9496.019638061523,,,
9551.239669799805,,,
9577.889709472656,,,
9766.369331359863,,,
9855.749542236328,,,
9889.759559631348,,,
9942.359619140625,,,
10069.049545288086,,,
10183.319564819336,,,
10329.319541931152,,,
10330.139556884766,,,
10438.389533996582,,,
10330.359596252441,,,
10424.859748840332,,,
10321.829849243164,,,
10337.849617004395,,,
10227.219779968262,,,
10281.909645080566,,,
10309.209648132324,,,
10321.99976348877,,,
10331.26978302002,,,
10393.289848327637,,,
10296.969856262207,,,
10261.999839782715,,,
10210.619743347168,,,
10179.759895324707,,,
10116.019882202148,,,
10016.289855957031,,,
10205.819923400879,,,
10226.999687194824,,,
10262.059883117676,,,
10206.310066223145,,,
10260.59977722168,,,
10132.560012817383,,,
10255.639907836914,,,
10251.02018737793,,,
10258.059982299805,,,
10302.350006103516,,,
10248.149948120117,,,
10169.970001220703,,,
10279.1597366333,,,
10211.369789123535,,,
10142.399887084961,,,
10018.269958496094,,,
9894.679786682129,,,
10353.229797363281,,,
10404.109878540039,,,
10238.669700622559,,,
10267.159698486328,,,
10331.13973236084,,,
10360.939849853516,,,
10394.109832763672,,,
10444.72989654541,,,
10383.05972290039,,,
10365.149726867676,,,
10363.449684143066,,,
10316.599685668945,,,
10434.539596557617,,,
10377.849716186523,,,
10440.789604187012,,,
10562.819541931152,,,
10525.67943572998,,,
10442.249641418457,,,
10493.969551086426,,,
10548.579368591309,,,
10627.659370422363,,,
10641.40950012207,,,
10670.099327087402,,,
10746.419303894043,,,
10771.869216918945,,,
10761.939331054688,,,
10778.969383239746,,,
10742.649360656738,,,
10890.919471740723,,,
10851.049407958984,,,
10953.299499511719,,,
10951.699493408203,,,
10925.869354248047,,,
11052.229476928711,,,
11047.119590759277,,,
11091.079414367676,,,
11127.72940826416,,,
11087.219482421875,,,
11018.969459533691,,,
11062.769340515137,,,
10964.479270935059,,,
11054.529167175293,,,
11017.289237976074,,,
10957.439254760742,,,
10961.289321899414,,,
10973.479202270508,,,
10923.96940612793,,,
10904.399230957031,,,
10853.869194030762,,,
10833.169189453125,,,
10870.0693359375,,,
10957.90934753418,,,
10985.479248046875,,,
10879.569396972656,,,
10858.689315795898,,,
10914.159370422363,,,
10940.8394241333,,,
10899.179420471191,,,
10995.679382324219,,,
11030.189323425293,,,
11008.319221496582,,,
11000.609428405762,,,
11098.719467163086,,,
11012.789192199707,,,
10979.269142150879,,,
10948.119171142578,,,
10977.569122314453,,,
11056.419342041016,,,
11060.949340820312,,,
11178.549377441406,,,
11305.509704589844,,,
11412.21964263916,,,
11561.659530639648,,,
11532.489334106445,,,
11418.389572143555,,,
11497.019584655762,,,
11551.029525756836,,,
11629.479721069336,,,
11612.299591064453,,,
11684.329811096191,,,
11680.319793701172,,,
11734.819709777832,,,
11916.389595031738,,,
11849.30963897705,,,
11892.939659118652,,,
11917.019668579102,,,
11936.509307861328,,,
11901.56926727295,,,
11921.569175720215,,,
11865.889122009277,,,
11726.67911529541,,,
11761.359008789062,,,
11759.039047241211,,,
11723.759223937988,,,
11852.229293823242,,,
11813.929428100586,,,
11797.199310302734,,,
11755.219284057617,,,
11737.029304504395,,,
11642.009407043457,,,
11626.869270324707,,,
11614.009437561035,,,
11516.249504089355,,,
11523.8695602417,,,
11530.219512939453,,,
11476.819549560547,,,
11468.989616394043,,,
11466.96940612793,,,
11456.02946472168,,,
11476.929489135742,,,
11451.679298400879,,,
11479.909317016602,,,
11487.159301757812,,,
11431.419235229492,,,
11419.719177246094,,,
11463.549118041992,,,
11463.909088134766,,,
11551.349044799805,,,
11552.329109191895,,,
11601.778999328613,,,
11633.439002990723,,,
11605.229026794434,,,
11536.1591796875,,,
11501.749130249023,,,
11574.409210205078,,,
11593.60905456543,,,
11769.019149780273,,,
12196.719078063965,,,
12368.65902709961,,,
12483.968963623047,,,
12533.668853759766,,,
12603.59888458252,,,
12663.328880310059,,,
12706.528617858887,,,
12896.498756408691,,,
12822.788795471191,,,
12798.7388381958,,,
12879.428695678711,,,
12898.40860748291,,,
12963.208808898926,,,
13002.268844604492,,,
12955.748908996582,,,
